token	idf
0	2.2121876044039577
00	2.2121876044039577
01	2.513217600067939
010	2.513217600067939
03	2.513217600067939
05	2.513217600067939
1	0.6681195600536822
10	0.850459768386365
100	1.212187604403958
1000	1.4340363540203143
10000	1.6681195600536822
100000	1.8142475957319202
100b	2.513217600067939
101	2.513217600067939
1015	2.513217600067939
1024	2.513217600067939
105	2.2121876044039577
106	2.513217600067939
109	2.513217600067939
10ème	2.2121876044039577
11	1.282768678689665
110	2.513217600067939
111	2.2121876044039577
115	1.9111576087399766
1160	2.513217600067939
117	2.513217600067939
11ème	2.513217600067939
12	1.133006358356333
120	2.2121876044039577
12000	2.513217600067939
125	2.2121876044039577
125000	2.513217600067939
126	2.513217600067939
128	2.2121876044039577
1280	2.513217600067939
12mois	2.513217600067939
12ème	2.2121876044039577
13	1.5589750906286142
130	2.513217600067939
135	2.513217600067939
1367	2.513217600067939
13ème	2.513217600067939
14	1.513217600067939
140	1.9111576087399766
141	2.513217600067939
142	2.513217600067939
145	2.513217600067939
1466	2.513217600067939
14ème	2.513217600067939
15	0.9817386830256839
150	1.5589750906286142
1500	1.6681195600536822
15000	2.2121876044039577
150000	2.0360963453482768
150ème	2.513217600067939
154	2.513217600067939
15ème	2.513217600067939
16	1.3371263410122578
1600	2.2121876044039577
167	2.513217600067939
16ème	2.513217600067939
17	1.1909983053340196
170	2.513217600067939
173000	2.513217600067939
178	2.513217600067939
1780	2.2121876044039577
17ème	2.513217600067939
18	1.151489764050346
180	2.513217600067939
1809	2.513217600067939
182	2.513217600067939
1859	2.513217600067939
188	2.513217600067939
19	1.3992742477611022
1901	2.513217600067939
1925	2.513217600067939
1940	2.513217600067939
1946	2.513217600067939
1950	2.2121876044039577
1953	2.513217600067939
1954	2.513217600067939
1959	2.2121876044039577
1960	2.513217600067939
1961	2.513217600067939
1963	2.513217600067939
1969	2.513217600067939
1970	2.2121876044039577
1973	2.513217600067939
1978	2.513217600067939
1979	2.2121876044039577
1980	1.8142475957319202
1981	2.513217600067939
1982	2.2121876044039577
